,Kilometers,cars_model,Year,Owner_Type,Insurance_Date,Insurance_Type,RTO,Fuel_Type,Transmission_Type,Price
0,"50,007 km",2014 Tata Nano XT TWIST,December 2014,First Owner,22/2/2021,Comp,DL11,Petrol,MANUAL,"₹ 114,899"
1,"19,577 km",2016 Maruti Celerio ZXI OPT AMT,April 2016,First Owner,10/5/2021,Zero_Dep,DL6C,Petrol,AUTOMATIC,"₹ 368,499"
2,"57,650 km",2011 Maruti Wagon R 1.0 LXI CNG,May 2011,Second Owner,20/9/2021,Third_party,DL8C,Petrol + CNG,MANUAL,"₹ 196,199"
3,"47,447 km",2010 Hyundai Santro Xing GLS,March 2010,First Owner,27/3/2021,Comp,DL3C,Petrol + CNG,MANUAL,"₹ 156,460"
4,"13,337 km",2016 Maruti Alto K10 LXI,May 2016,First Owner,2/11/2021,Expired,DL6C,Petrol,MANUAL,"₹ 293,447"
5,"32,089 km",2011 Maruti Alto K10 LXI,March 2011,Second Owner,21/5/2021,Third_party,DL3C,Petrol,MANUAL,"₹ 173,699"
6,NA,2013 Maruti Alto 800 LXI,April 2013,First Owner,7/12/2021,Comp,DL9C,Petrol,MANUAL,"₹ 203,081"
7,"28,769 km",2012 Maruti Ritz VDI ,NA,First Owner,26/7/2021,Comp,DL9C,Diesel,MANUAL,"₹ 300,199"
8,"16,061 km",2018 Maruti Celerio ZXI AMT,October 2012,NA,20/2/2021,Comp,DL9C,Petrol,AUTOMATIC,"₹ 399,804"
9,"18,002 km",2011 Hyundai i10 MAGNA 1.1 IRDE2,January 2018,Second Owner,3/1/2021,Comp,DL2C,NA,MANUAL,"₹ 172,600"
10,"59,546 km",2018 Maruti Wagon R 1.0 LXI,June 2011,Second Owner,NA,NA,DL9C,Petrol,MANUAL,"₹ 343,899"
11,"17,101 km",2013 Maruti Ritz VDI ,April 2018,First Owner,5/12/2021,Expired,DL8C,Petrol,MANUAL,"₹ 240,099"
12,"44,432 km",2014 Hyundai i10 MAGNA 1.1 IRDE2,January 2013,Second Owner,NA,Comp,HR51,Diesel,MANUAL,"₹ 290,999"
13,"31,584 km",2016 Datsun Redi Go T (O),November 2014,First Owner,26/10/2021,Comp,DL8C,Petrol,MANUAL,"₹ 195,399"
14,"37,538 km",2014 Honda Brio 1.2 S MT I VTEC,August 2016,First Owner,NA,Comp,DL4C,Petrol,MANUAL,"₹ 308,399"
15,"32,152 km",2017 Datsun Redi Go T (O),March 2014,Second Owner,2/3/2021,Comp,DL2C,Petrol,NA,"₹ 288,999"
16,"4,730 km",2017 Maruti Baleno ZETA 1.2 K12 ,August 2017,First Owner,18/8/2021,Zero_Dep,DL6C,Petrol,MANUAL,"₹ 568,499"
17,"27,073 km",2012 Hyundai i20 ERA 1.2 ,April 2017,First Owner,30/4/2021,Zero_Dep,DL12,Petrol,MANUAL,"₹ 296,199"
18,"37,076 km",2018 Tata Tiago XZ 1.2 REVOTRON,April 2012,Second Owner,10/10/2021,Third_party,DL10,Petrol,MANUAL,"₹ 438,105"
19,"14,036 km",2019 Maruti Swift LXI,May 2018,First Owner,30/7/2021,Zero_Dep,DL9C,Petrol,MANUAL,"₹ 459,962"
20,"16,372 km",2013 Maruti Swift VDI,March 2019,First Owner,19/4/2021,Zero_Dep,DL1C,Petrol,MANUAL,"₹ 366,299"
21,"39,124 km",2014 Hyundai Grand i10 ERA 1.2 VTVT,February 2013,First Owner,15/2/2021,Comp,DL10,Diesel,MANUAL,"₹ 345,799"
22,"23,794 km",2016 Honda Amaze 1.2 SMT I VTEC,January 2014,Second Owner,23/6/2021,Third_party,DL1C,Petrol,MANUAL,"₹ 353,599"
23,"19,568 km",2011 Hyundai i20 MAGNA O 1.2,March 2016,Second Owner,16/8/2021,Insurance Expired,DL3C,Petrol,MANUAL,"₹ 253,261"
24,"54,534 km",2012 Maruti Swift Dzire VDI BS IV,June 2011,First Owner,NA,Comp,DL9C,Petrol,MANUAL,"₹ 366,438"
25,"49,510 km",2015 Maruti Swift VDI ABS,June 2012,First Owner,5/6/2021,Comprehensive,DL9C,Diesel,MANUAL,"₹ 421,399"
26,"25,850 km",2010 Maruti Alto LXI,February 2015,First Owner,8/4/2021,Zero_Dep,DL5C,Diesel,MANUAL,"₹ 148,299"
27,"42,016 km",2013 Hyundai Verna FLUIDIC 1.6 SX CRDI OPT,April 2010,First Owner,27/4/2021,Third_party,DL4C,Petrol,MANUAL,"₹ 426,999"
28,"74,271 km",2013 Hyundai Verna FLUIDIC 1.6 SX CRDI,November 2013,First Owner,28/3/2021,Expired,DL4C,Diesel,MANUAL,"₹ 428,699"
29,"49,718 km",2011 Maruti Alto LXI,January 2013,First Owner,NA,Expired,DL6C,Diesel,MANUAL,"₹ 156,299"
30,"41,402 km",2016 Maruti Alto 800 VXI,March 2011,First Owner,26/11/2021,Comp,DL5C,Petrol,MANUAL,"₹ 296,899"
31,"33,510 km",2012 Hyundai Verna FLUIDIC 1.6 SX CRDI,September 2016,First Owner,NA,Zero_Dep,DL10,Petrol,MANUAL,"₹ 410,499"
32,"48,288 km",2018 Maruti Alto 800 LXI,August 2012,First Owner,27/8/2021,Comp,DL8C,Diesel,MANUAL,"₹ 290,999"
33,"10,123 km",2012 Toyota Etios VX D,April 2018,First Owner,13/6/2021,Zero_Dep,DL3C,Petrol,MANUAL,"₹ 292,699"
34,"52,194 km",2015 Hyundai Elite i20 ASTA 1.2,August 2012,Second Owner,24/3/2021,Comp,DL12,Diesel,MANUAL,"₹ 537,999"
35,"37,486 km",2015 Maruti Swift Dzire VXI 1.2 BS IV,September 2015,First Owner,26/2/2021,Zero_Dep,DL3C,Petrol,MANUAL,"₹ 443,099"
36,"39,550 km",2013 Maruti Swift VDI,October 2015,First Owner,30/10/2021,Comp,DL2C,Petrol,MANUAL,"₹ 368,599"
37,"45,371 km",2011 Maruti Wagon R 1.0 VXI,October 2013,First Owner,18/12/2021,Comp,DL9C,Diesel,MANUAL,"₹ 167,199"
38,"66,014 km",2018 Tata Tiago XT 1.2 REVOTRON,March 2011,First Owner,2/6/2021,Expired,DL1C,Petrol,MANUAL,"₹ 417,499"
39,"25,131 km",2010 Ford Figo 1.2 EXI DURATEC,April 2018,First Owner,NA,Zero_Dep,DL4C,Petrol,MANUAL,"₹ 191,997"
40,"27,728 km",2014 Maruti Alto 800 VXI,August 2010,Second Owner,27/12/2021,Third_party,DL2C,Petrol,MANUAL,"₹ 231,899"
41,"31,738 km",2014 Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,January 2014,First Owner,18/1/2022,Comp,DL10,Petrol,MANUAL,"₹ 334,899"
42,"16,316 km",2015 Maruti Wagon R 1.0 VXI AMT,June 2014,First Owner,29/7/2021,Comp,DL2C,Petrol,MANUAL,"₹ 378,499"
43,"22,900 km",2017 Maruti Dzire VXI,November 2015,First Owner,26/12/2021,Comp,DL2C,Petrol,AUTOMATIC,"₹ 634,099"
44,"9,562 km",2017 Maruti Alto K10 VXI ,October 2017,Second Owner,19/11/2021,Third_party,DL9C,Petrol,MANUAL,"₹ 410,618"
45,"8,300 km",2012 Maruti Swift Dzire VXI 1.2 BS IV,August 2017,First Owner,26/8/2021,Expired,DL6C,Petrol,MANUAL,"₹ 352,299"
46,"40,055 km",2018 Maruti Wagon R 1.0 LXI CNG,June 2012,First Owner,NA,Comp,DL2C,Petrol,MANUAL,"₹ 421,699"
47,"28,560 km",2013 Maruti Wagon R 1.0 VXI,April 2018,First Owner,27/7/2021,Zero_Dep,DL2C,Petrol + CNG,MANUAL,"₹ 325,599"
